dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 85
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 85
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 173
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 173
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 261
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 261
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 34
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 34
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 71
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 71
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 78
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 78
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 73
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 73
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 106
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 106
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 41
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 41
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 105
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 105
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 113
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 113
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 86
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 86
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 42
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 42
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 68
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 68
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 114
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 114
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 82
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 82
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 106
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 106
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 262
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 262
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 194
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 194
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 24
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 24
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 115
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 115
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 107
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 107
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 206
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 206
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 35
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 35
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 263
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 263
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 63
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 63
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 115
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 115
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 279
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 279
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 96
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 96
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 264
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 264
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 280
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 280
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 92
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 92
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 135
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 135
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 85
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 85
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 25
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 25
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 139
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 139
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 136
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 136
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 324
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 324
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 71
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 71
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 97
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 97
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 116
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 116
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 45
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 45
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 239
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 239
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 207
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 207
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 325
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 325
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 92
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 92
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 95
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 95
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 195
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 195
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 342
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 342
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 93
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 93
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 26
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 26
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 96
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 96
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 79
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 79
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 93
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 93
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 46
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 46
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 64
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 64
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 87
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 87
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 208
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 208
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 326
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 326
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 196
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 196
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 72
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 72
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 66
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 66
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 94
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 94
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 343
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 343
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 197
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 197
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 281
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 281
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 163
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 163
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 198
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 198
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 95
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 95
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 98
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 98
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 164
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 164
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 89
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 89
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 107
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 107
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 83
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 83
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 99
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 99
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 194
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 194
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 61
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 61
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 344
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 344
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 165
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 165
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 108
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 108
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 90
dwCan = 0 dwGet = 0 dwData = dwContinueKillNum 		value = 90
dwCan = 0 dwGet = 0 dwData = dwKillMonsterNum 		value = 39
